Week,Day,Company,Address,Location,Phone,Notes,Email,
None,None,TD Bank - Aramark,"1040 102nd Avenue, Dawson Creek, BC V1G 4H4",,,,PO# 1228701-0000S,
None,None,Bluewave Energy,"2801 92nd Avenue, Dawson Creek, BC V1G 0G2",,Rob 250-219-1057,,Want to be on the route again,
None,None,CN Rail,"4301 116th Avenue, Dawson Creek, BC V1G 4H3",,,,MUST GET STAMP/SIGNATURE,
None,None,Ovintiv - Tower Plant,"LSD 03-07-081-17-W6, BC",,,,Fill out amounts - ask if you need help,
None,None,Ovintiv - Saturn Plant,"LSD 15-27-079-17-W6, BC",,,,,
None,None,Ovintiv - Water Hub 2,"LSD 16-36-078-17-W6, BC",,,,Coffee Supplies Sheet,
None,None,Veresen Compressor Site,"LSD 09-27-079-17-W6, BC",,250-843-3018,,,
None,None,Torra Lake (A5-G),"LSD A5-G/93-P-09, BC",,,,,
None,None,Torra Lake (D19-H),"LSD D19-H/93-P-09, BC",,250-793-0112,,,
None,None,Sinclair Site,"LSD 15-31-078-13-W6, BC",,,,,
None,None,South Central Liquid Hub,"LSD C-014-G/93-P-09, BC",,,,243 Road Dawn 9. The Water Hub @ 26,
None,None,Sunrise Plant,"LSD 01-34-04-26-078-17-W6, BC",,,,,
None,None,Berry Road Site,"9-15-77-15 Berry Road, Dawson Creek, BC",,250-782-8501,,,
None,None,Dawson Creek Hospital,"11100 13 Street, Dawson Creek, BC V1G 3W8",,250-785-0314,,PO and contact person needed,
None,None,Heritage North,"8912 109th Street, Fort St John, BC V1J 6K2",,,,,
None,None,Custom Cell FSJ,"Unit 1360, 9600 93 Avenue, Fort St John, BC V1J 5Z2",,250-785-4115,,,
None,None,Custom Cell DC,"1025 102 Avenue, Dawson Creek, BC V1G 2B9",,250-219-6765,,,
None,None,Pat's Auto,"1400 102 Avenue, Dawson Creek, BC V1G 2C9",,250-784-1500,,,
None,None,Walmart DC (PROMO),"600 Highway 2, Dawson Creek, BC V1G 4P7",,250-219-0128,,,
None,None,Walmart FSJ (PROMO),"9007 96A Street, Fort St John, AB V1J 7B5",,250-261-5564,,,
None,None,Bandstra Transportation,"1505 97 Avenue, Dawson Creek, BC V1G 1M5",,250-782-0477,,,
None,None,Apex Distribution,"1045 102 Avenue, Dawson Creek, BC V1G 2B9",,,,,
None,None,Intercom,"1424 102 Avenue, Dawson Creek, BC V1G 2C5",,,,420-115 Avenue,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
