Week,Day,Company,Address,Location,Phone,Notes,Email
week 3,Monday,Tartan Autobody,"9508B 103 Street, Grande Prairie, AB T8V 2Z4",,,Main Entrance & Under Stairwell in Office,
week 3,Monday,Western Star Truck (North),"7802 110 Street, Grande Prairie, AB T8W 2L3",,,Lunch Room,
week 3,Monday,Manitoulin Transport,"8501 115 Street, Grande Prairie, AB T8V 5W2",,,Storage Room,
week 3,Monday,Sanjel - GP Office,"10620 78 Avenue, Grande Prairie, AB T8W 2L4",,780-532-1888,Main Entrance,
week 3,Monday,Orbit Hydraulics,"11011 92 Avenue, Grande Prairie, AB T8V 5K4",,780-532-1888     780-832-6682 (Jason),Lunch Room,
week 3,Monday,Wheaton Chev,"11701 101 Avenue, Grande Prairie, AB T8V 3X3",,780-832-6682,,
week 3,Monday,VDM Trucking,"12002 106 Avenue, Grande Prairie, AB T8V 1N4",,780-532-1555,Jason Hansen,
week 3,Monday,Phoenix Energy,"9602 117 Street, Grande Prairie, AB T8V 6C2",,780-532-1555,Exchange all empties,
week 3,Monday,Phoenix Energy (Radiator),"11401 98 Avenue, Grande Prairie, AB T8V 5S5",,,Please just exchange all empties 4 bottles biweekly,
week 3,Monday,JTW Automotive,"9223 111 Street, Grande Prairie, AB T8V 5L3",,780-538-2705 #3,4 bottles biweekly,
week 3,Monday,United Valve Ltd,"8401 113 Street, Grande Prairie, AB T8V 5X3",,Lunch Room,,
week 3,Monday,Specially Pump,"713054 RNG RD 63, Grande Prairie, AB T8X 5G8",,,Lunch Room,
week 3,Monday,Summit Fleet,"12235 104 Avenue, Grande Prairie, AB T8V 8J8",,,,
week 3,Monday,Max Fuel,"11410 97 Avenue, Grande Prairie, AB T8V 5V5",,,,
week 3,Monday,Cerenus,"9701 116 Street, Grande Prairie, AB T8V 5W3",,,4/week (Sandra Eddy),
week 3,Monday,HDE Integrated,"10955 89 Avenue, Grande Prairie, AB T8V 5V3",,,4 a week as per Sandra Eddy,
week 3,Monday,First Student,"11456 97 Avenue, Grande Prairie, AB T8V 5V5",,,,
week 3,Monday,Grizzly Trucks,"10903 78 Avenue, Grande Prairie, AB T8W 2L4",,780-538-3552,,
week 3,Monday,Phoenix Energy (Safety),"7851 110 Street, Grande Prairie, AB T8W 2L3",,780-538-3552,,
week 3,Monday,JOA,"713031 RR 54, Grande Prairie, AB T8W 5G8",,,,
week 3,Monday,Holiday Inn,"9816 107 Street, Grande Prairie, AB T8V 7V8",,,,
week 3,Monday,Velocity Group,"10520 84 Avenue, Grande Prairie, AB T8V 5B1",,,,
week 3,Monday,H&W Energy,"Unit 201, 11225 98 Avenue, Grande Prairie, AB T8V 5S5",,,,
week 3,Monday,Klon Services,"713040 RR 64, Grande Prairie, AB T8W 5G8",,,8 bottles,
week 3,Monday,LSM Lee's Sheet Metal,"10910 97 Avenue, Grande Prairie, AB T8V 5V5",,780-532-4418,8 bottles,
week 3,Monday,Leyman Dist,"8910 108 Street, Grande Prairie, AB T8V 4M6",,780-532-4418,Replace empties,
week 3,Monday,The Vine Luxury Spa,"9814 107 Street, Grande Prairie, AB T8V 7V8",,,Every two weeks,
week 3,Monday,The Vine Luxury Spa,9814-107 Street,,,Please make sure to go every two weeks,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
