Week,Day,Company,Address,Location,Phone,Notes,Email
WEEK 3,Wednessday,Contain Enviro Services,"13535 97 Street, Grande Prairie, AB T8V 4H4",,"PLEASE GET SOMEONE TO SIGN, Shop",Upstairs & main floor,
WEEK 3,Wednessday,Bluewave Cardlock Buildings,"14125 99 Street, Grande Prairie, AB T8V 7B1",,,Will try 10@ every 2 weeks,
WEEK 3,Wednessday,RDL Projects,"9401 158 Avenue, Grande Prairie, AB T8X 0M7",,780-882-7044,,
WEEK 3,Wednessday,Colter Energy LP,"14011 97 Street, Grande Prairie, AB T8V 7B2",,,,
WEEK 3,Wednessday,Tier 1 Energy Solutions,"8104A 105 Street, Clairmont, AB T8X 5B2",,780-402-0942 PO#20047662,,
WEEK 3,Wednessday,Victor Energy (Body Shop),"14213 97 Street, Grande Prairie, AB T8V 7B2",,780-533-5448,,
WEEK 3,Wednessday,Victor Energy (Mech. Shop),"14310 97 Street, Grande Prairie, AB T8V 7B3",,,,
WEEK 3,Wednessday,Kaytra GP,"9516 145 Avenue, Grande Prairie, AB T8V 8P1",,,Door code 5231,
WEEK 3,Wednessday,Essential Coil,"2A 63014 Township Road 724, Clairmont, AB T8X 4A2",,,,
WEEK 3,Wednessday,Barr None Mechanical,"13 63014 Township Road 724, Clairmont, AB T8X 4A2",,,Washroom,
WEEK 3,Wednessday,Command Fishing,"14801 89 Street, County of Grande Prairie, AB T8X 0M2",,,3 bottles monthly,
WEEK 3,Wednessday,PepsiCo Foods,"14302 93 Street, Grande Prairie, AB T8V 7Z8",,780-538-1437,,
WEEK 3,Wednessday,RB Oilfield,"9328 144 Avenue, Grande Prairie, AB T8V 4Z1",,,Always make sure there is 12 bottles,
WEEK 3,Wednessday,Ideal Completions,"9302 144 Avenue, Grande Prairie, AB T8V 4Z1",,,,
WEEK 3,Wednessday,Full Force Ventures,"14915 89 Street, Grande Prairie, AB T8X 0M2",,,,
WEEK 3,Wednessday,Star Autobody,"15110 89 Street, Grande Prairie, AB T8X 0M2",,,,
WEEK 3,Wednessday,Diverse Diesel,"15710 89 Street, Grande Prairie, AB T8X 0M6",,,Keyera Pipeline,
,,Benedict Pipelines,"9202 154 Avenue, Grande Prairie, AB T8X 0L2",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
