Week,Day,Company,Address,Location,Notes,Phone,Email
week1,Wed,Company,Address,,"Get someone to sign, Shop ",,
week1,Wed,Contain Enviro Services,"13535 97 Street, Grande Prairie, AB T8V 4H4",,3 LOCATIONS Upstairs & mainfloor,,
week1,Wed,Bluewave Cardlock,"14125 99 Street, Grande Prairie, AB T8V 7B1",,,,
week1,Wed,Speedy Collision,"12704 100 Street, Grande Prairie, AB T8V 4H8",,Will try 10B every 2 weeks,,
week1,Wed,ROIL Projects,"9401 158 Avenue, Grande Prairie, AB T8X 0M7",,,,
week1,Wed,Tier 1 Energy Solutions,"9329 144 Avenue, Grande Prairie, AB T8V 4Z1",,McRae Industrail park,,
week1,Wed,KMA Construction,"9503 154 Avenue, Grande Prairie, AB T8X 0M5",,PO# 20087904 / 20047662,,
week1,Wed,Keyera GP,"9516 146 Avenue, Grande Prairie, AB T8V 8P1",,,780-900-7044,
week1,Wed,Colter Energy LP,"14011 97 Street, Grande Prairie, AB T8V 7B2",,Door code 5231,,
week1,Wed,Essential Coil,"2A 63014 TWP RD 724, Clairmont, AB T8X 4A2",,6 bottles once a month,,
week1,Wed,Star Autobody,"15110 89 Street, Grande Prairie, AB T8X 0M2",,Once a month,,
week1,Wed,Victor Energy (Body Shop),"14213 97 Street, Grande Prairie, AB T8V 7B2",,,,
week1,Wed,Victor Energy (Mech.),"14310 97 Street, Grande Prairie, AB T8V 7B3",,,,
week1,Wed,Barr None,"13 63014 TWP RD 724, Clairmont, AB T8X 4A2",,Once a month,,
week1,Wed,Rocky Mountain Equip.,"15709 101 Street, Grande Prairie, AB T8V 0P2",,Washroom,,
week1,Wed,Command Fishing,"14801 89 Street, Grande Prairie, AB T8X 0M2",,,,
week1,Wed,Torrent Mechanical,"9241 141 Avenue, Grande Prairie, AB T8V 5T2",,3 bottles monthly,,
week1,Wed,PepsiCo Foods,"14302 93 Street, Grande Prairie, AB T8V 7Z8",,,780-539-1437,
week1,Wed,RB Oilfield,"9328 144 Avenue, Grande Prairie, AB T8V 4Z1",,Always 15 bottles,,
week1,Wed,Ideal Completions,"9302 144 Avenue, Grande Prairie, AB T8V 4Z1",,,,
week1,Wed,Full Force Ventures,"14915 89 Street, Grande Prairie, AB T8X 0M2",,,,
,,Benedict Pipelines,"9202 154 Avenue, Grande Prairie, AB T8X 0L2",,,,
,,Big Country CJXX,"202, 9817 101 Avenue, Grande Prairie, AB T8V 0X6",,,,
,,Westland Insurance,"9917 116 Avenue, Grande Prairie, AB T8V 5W3",,,,
,,Sean Sargent,"10625 117 Avenue, Grande Prairie, AB T8V 7N6",,,,
,,Dobko & Wheaton,"10022 102 Avenue, Grande Prairie, AB T8V 0Z7",,,,
,,The Bell Store,"Unit 114B, 11801 100 Street, Grande Prairie, AB T8V 3Y2",,,,
,,Source Energy,"9706 132 Avenue, Grande Prairie, AB T8V 4C1",,,,
,,Prairie Mall Dental,"Unit 216, 11801 100 Street, Grande Prairie, AB T8V 3Y2",,,,
,,Edward Jones,"Unit 101, 10055 120 Avenue, Grande Prairie, AB T8V 8H8",,,,
,,Ken Sargent,"12308 100 Street, Grande Prairie, AB T8V 4H7",,,,
,,UFA Farm Store,"15602 101 Street, Grande Prairie, AB T8V 0P2",,,,
,,Integra Tire,"10022 124 Avenue, Grande Prairie, AB T8V 5L7",,,,
,,GRPP Courthouse,"10260 99 Street, Grande Prairie, AB T8V 2H4",,,,
,,Custom Cellular (Mall),"Unit 116, 11801 100 Street, Grande Prairie, AB T8V 3Y2",,,,
,,Canna Cabana,"Unit 370, 11801 100 Street, Grande Prairie, AB T8V 3Y2",,,,
,,FYI Doctors,"12111 99 Street, Grande Prairie, AB T8V 6X9",,,,
,,NW Polytechnic,"10726 106 Avenue, Grande Prairie, AB T8V 4C4",,,,
,,Francophonie Plurielle,"Unit 202, 9932 111 Avenue, Grande Prairie, AB T8V 7L3",,,,
,,Custom Cellular (100 St),"10304 100 Street, Grande Prairie, AB T8V 2M1",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
