Week,Day,Company,Address,Location,Phone,Notes,Email
week 4,Thursday,Company,Combined Address,,,All separate slips,
week 4,Thursday,Liberty (Well Services),"Bay 15, 9602 72 Avenue, Clairmont, AB T8X 4A2",,"780-830-0474, Closet Front",,
week 4,Thursday,Speedy Collision,"12704 100 Street, Grande Prairie, AB T8V 4H7",,,Back Shop,
week 4,Thursday,Red Deer Ironworks,"10002 84 Avenue, Clairmont, AB T8X 5B1",,587-298-4432,100 once a month ,
week 4,Thursday,Enercorp Sand Solutions,"10201 88 Avenue, Clairmont, AB T8X 0G9",,,Both front and back,
week 4,Thursday,Triple Threat Diesel Inc,"7002 96 Street, Clairmont, AB T8X 4A3",,,,
week 4,Thursday,Aureus Energy (Green Energy),"10211 97 Avenue, Clairmont, AB T8X 0T9",,,Lunch Room,
week 4,Thursday,E&P Wireline,"9602 72 Avenue, Clairmont, AB T8X 4A2",,,Near Vending Machine,
week 4,Thursday,Northern Metallic Sales,"8502 99 Street, Clairmont, AB T8V 0P2",,,4 Bottles,
week 4,Thursday,URBN Leaf Cannabis,"7201 99 Street, Clairmont, AB T8X 5B1",,,Please note,
week 4,Thursday,Fluid Pro,"9701 99 Street, Clairmont, AB T8X 0S1",,,,
week 4,Thursday,Force Inspection,"10301 70 Avenue, Clairmont, AB T8X 4A1",,,Office,
week 4,Thursday,Max Fuel,"10702 79 Avenue, Clairmont, AB T8X 5B5",,,REPLACE ALL EMPTIES,
week 4,Thursday,Westmax Trucking,"9214 85 Avenue, Clairmont, AB T8X 5A1",,780-532-1281,,
week 4,Thursday,UFA Farm Store,"15602 101 Street, Grande Prairie, AB T8V 0P2",,402-5060 ,- Every second week,
week 4,Thursday,Isolation Equipment,"10222 79 Avenue, Clairmont, AB T8X 5B5",,,,
week 4,Thursday,Dan's Oilfield,"10602 79 Avenue, Clairmont, AB T8X 5B5",,,NEW CUSTOMER,
week 4,Thursday,WestOil Services,"10322 74 Avenue, Clairmont, AB T8X 4A1",,,,
week 5,Thursday,Steelhaus,"9310 85 Avenue, Clairmont, AB T8X 5A1",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
