Week,Day,Company,Address,Location,Phone,Notes,Email
week 4,Monday,Company,Combined Address,,,Shop,
week 4,Monday,Rentco Equip.,"9601 117 Street, Grande Prairie, AB T8W 0C7",,,Back Room,
week 4,Monday,Union Tractor,"11123 97 Avenue, Grande Prairie, AB T8V 3J6",,,Upstairs,
week 4,Monday,Strongco Equipment,"11301 89 Avenue, Grande Prairie, AB T8W 0A9",,,Storage Room,
week 4,Monday,On Side Restoration,"9503 113 Street, Grande Prairie, AB T8V 5L2",,,Main Office/Upstairs Lunch Room,
week 4,Monday,Bradvin Trailer Sales,"10920 87 Avenue, Grande Prairie, AB T8V 8K4",,780-532-3252 Jason Hansen,,
week 4,Monday,Freedom Machine Corp,"8801 110A Street, Grande Prairie, AB T8V 5L5",,780-538-8280 Tracy Morris,,
week 4,Monday,Sanjel - GP Office,"10620 78 Avenue, Grande Prairie, AB T8W 1A3",,,,
week 4,Monday,RBC Mutual Funds Inc,"10720 80 Avenue, Grande Prairie, AB T8W 2S7",,,,
week 4,Monday,Moore's The Suit People,"Unit 108, 11502 Westgate Drive, Grande Prairie, AB T8V 4E9",,780-532-8224,,
week 4,Monday,Family Medicine Assoc.,"Unit 206, 11601 101 Avenue, Grande Prairie, AB T8V 3X9",,,,
week 4,Monday,Chatters WestGate,"Unit 114, 11517 Westgate Drive, Grande Prairie, AB T8V 3B1",,,,
week 4,Monday,GP Brewing,"8812 111A Street, Grande Prairie, AB T8V 2S4",,,upstairs and downstairs - TAKE COFFEE ORDER once a month,
week 4,Monday,Prairie Disposal,"65029 Hwy 43, County of Grande Prairie, AB T8W 5K2",,,,
week 4,Monday,First Choice Electrical,"10913 97 Avenue, Grande Prairie, AB T8V 4G6",,,4 Bottles,
week 4,Monday,Purolator,"11480 95 Avenue, Grande Prairie, AB T8V 5V3",,,,
week 4,Monday,The Workshop Cowork,"Unit 107, 9601 107 Street, Grande Prairie, AB T8V 6S5",,,6 bottles every two weeks,
week 4,Monday,Adventure Aviation,"11021 123 Street, Grande Prairie, AB T8V 0B4",,,,
week 4,Monday,Cenovus,"9701 116 Street, Grande Prairie, AB T8V 4B1",,,Shop,
week 4,Monday,Dr Phone Fix,"Unit 113, 11517 Westgate Drive, Grande Prairie, AB T8V 3B1",,,4 a week as per Sandra Eddy,
week 4,Monday,North Peace Insulating,"Unit 106, 10919 96 Avenue, Grande Prairie, AB T8V 3J4",,,,
week 4,Monday,First Student,"11456 97 Avenue, Grande Prairie, AB T8V 5Z5",,,6 bottles,
week 4,Monday,Kion Services,"713040 RR 64, Grande Prairie, AB T8W 5E5",,,3 bottles,
week 4,Monday,Leyman Distributors,"8910 108 Street, Grande Prairie, AB T8V 4C7",,,4 bottles,
week 4,Monday,Progressive Physio,"10605 Westside Drive, Grande Prairie, AB T8V 8E6",,,4 bottles,
,,Sterling Centre (101),"Unit 101, 11601 101 Avenue, Grande Prairie, AB T8V 3X9",,,,
,,Sterling Centre (106),"Unit 106, 11601 101 Avenue, Grande Prairie, AB T8V 3X9",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
